Time-ending,NSW1 Price,NSW1 Scheduled Demand,NSW1 Non-scheduled,NSW1 Generation,NSW1 Availability
1/04/2013 0:30,45.94,6334.97,0.69,5696.91,11967.34
1/04/2013 1:00,46.07,6185.87,-0.14,5428.31,11964.29
1/04/2013 1:30,45.29,5979.35,-0.13,5297.99,11973.27
1/04/2013 2:00,44,5771.75,-0.12,5060.5,11975.77
1/04/2013 2:30,44.33,5676.01,-0.12,4835.72,11981.92
1/04/2013 3:00,44.35,5619.81,-0.11,4709.24,11984.39
1/04/2013 3:30,44.17,5596.88,-0.11,4629.73,10909.43
1/04/2013 4:00,44.24,5571.35,-0.03,4593.1,11588.93
1/04/2013 4:30,45.34,5678.93,0.45,4752.22,11990.82
1/04/2013 5:00,45.5,5741.78,0.76,4866.58,11990.84
1/04/2013 5:30,45.63,5921.87,1.17,5063.33,11990.83
1/04/2013 6:00,46,6057.03,1.29,5365.99,11990.82
1/04/2013 6:30,45.69,6203.25,0.67,5572.07,12654.8
1/04/2013 7:00,47.69,6432.32,-0.03,5752.59,12654.83
1/04/2013 7:30,49.01,6713.88,-0.15,5884.41,12654.83
1/04/2013 8:00,50.27,6948.34,-0.11,6059.34,12654.82
1/04/2013 8:30,52.88,7221.26,-0.12,6440.52,12654.82
1/04/2013 9:00,51.88,7395.44,-0.13,6659.61,12654.83
1/04/2013 9:30,55.01,7485.46,-0.11,6734.86,12654.88
1/04/2013 10:00,52.22,7471.2,-0.12,6723.67,12655.04
1/04/2013 10:30,50.8,7445.74,0.59,6740.7,12656.89
1/04/2013 11:00,50.37,7395.26,4.85,6782.82,12670.1
1/04/2013 11:30,49.6,7394.85,12.38,6655.86,12676.53
1/04/2013 12:00,49.96,7319.72,32.23,6596.31,12680.36
1/04/2013 12:30,49.58,7295.94,40.41,6556.9,12681.27
1/04/2013 13:00,49.94,7239.44,59.62,6442.42,12691.6
1/04/2013 13:30,49.71,7135.87,69.74,6224.93,12639.38
1/04/2013 14:00,49.97,7151.33,82.06,6181.59,12619.1
1/04/2013 14:30,50.14,7162.61,88.36,6244.13,12624.01
1/04/2013 15:00,50.06,7222.93,99.59,6323.7,12623.2
1/04/2013 15:30,51.24,7356.1,86.05,6553.29,12606.36
1/04/2013 16:00,49.95,7432.45,87.74,6666.2,12605.35
1/04/2013 16:30,50.78,7570.59,77.28,6764.24,12685.41
1/04/2013 17:00,52.55,7587.95,79.08,6873.97,12682.56
1/04/2013 17:30,54.78,7639.39,81.77,7007.82,12703.96
1/04/2013 18:00,54.18,7698.86,89.48,7152.27,12695.82
1/04/2013 18:30,51.46,7829.62,83.05,7115.49,12693.83
1/04/2013 19:00,52.67,7778.22,82.3,7132.27,12692.97
1/04/2013 19:30,50.63,7576.4,91.19,6910.64,12029.68
1/04/2013 20:00,50.1,7432.56,94.59,6639.76,12029.32
1/04/2013 20:30,51.08,7266.64,88.99,6518.57,11928.57
1/04/2013 21:00,49.55,7077.12,96.1,6245.65,11942.76
1/04/2013 21:30,50.95,7084.16,94.87,6198.79,11945.85
1/04/2013 22:00,49.52,7030.54,89.43,6144.15,11951.06
1/04/2013 22:30,51.25,7102.54,71.19,6214.46,11939.16
1/04/2013 23:00,50.54,7041.11,52.74,6190.51,11926.2
1/04/2013 23:30,53.72,6917.62,43.77,6135.86,11577.39
2/04/2013 0:00,51.27,6882.86,36.25,6162.51,11578.5
2/04/2013 0:30,47.38,6691.18,42.01,5863.1,11583.58
2/04/2013 1:00,48.22,6517.16,40.96,5441.28,11585.1
2/04/2013 1:30,46.82,6247.43,24.65,5249.53,11481.71
2/04/2013 2:00,44.3,6015.99,22.01,4863.81,11475.93
