city, state, population, percentage_of_national
Sydney	, New South Wales, 	5029768,	20.74
Melbourne,	Victoria,	4725316,	19.24
Brisbane,	Queensland	2360241,	9.74
Adelaide,	South Australia,	1324279,	5.50
Gold Coast–Tweed Heads	, New South Wales, 	646983,	2.64
Newcastle–Maitland	, New South Wales, 	436171,	1.82
Canberra–Queanbeyan	Australian Capital Territory	435019,	1.78
Sunshine Coast,	Queensland	317404,	1.27
Wollongong	, New South Wales, 	295669,	1.23
Hobart,	Tasmania,	224462,	0.92
Geelong,	Victoria,	192393,	0.79
Townsville,	Queensland	178864,	0.76
Cairns,	Queensland	150041,	0.62
Toowoomba,	Queensland	114024,	0.48
Ballarat,	Victoria,	101588,	0.42
Bendigo,	Victoria,	95587,	0.39
Albury–Wodonga	, New South Wales, 	90576,	0.37
Launceston,	Tasmania,	86335,	0.36
Mackay,	Queensland	80755,	0.35
Rockhampton,	Queensland	78795,	0.33
Bundaberg,	Queensland	70310,	0.29
Coffs Harbour	, New South Wales, 	70134,	0.29
Wagga Wagga	, New South Wales, 	55960,	0.23
Hervey Bay,	Queensland	52806,	0.22
Mildura–Wentworth,	Victoria,	50998,	0.21
Shepparton–Mooroopna,	Victoria,	50693,	0.21
Port Macquarie	, New South Wales, 	46247,	0.19
Gladstone–Tannum Sands,	Queensland	45086,	0.20
Tamworth	, New South Wales, 	41978,	0.18
Traralgon–Morwell,	Victoria,	41333,	0.17
Orange	, New South Wales, 	39755,	0.17
Bowral–Mittagong	, New South Wales, 	38762,	0.16
Dubbo	, New South Wales, 	37125,	0.15
Nowra–Bomaderry	, New South Wales, 	36720,	0.15
Bathurst	, New South Wales, 	36013,	0.15
Warragul–Drouin,	Victoria,	35353,	0.14
Warrnambool,	Victoria,	34618,	0.14
Devonport,	Tasmania,	30058,	0.13
